,3.26.20,4.02.20,4.04.20,4.07.20,4.08.20,4.09.20,4.13.20,4.13.20,4.15.20,4.16.20,4.16.20,4.17.20,4.17.20,4.20.20,4.20.20,4.21.20,4.22.20
,NFL (Reuter),FantasyPros (Tagliere),DraftWire (Easterling),SportingNews,PFF,SI (Hanson),Profootballnetwork (Driscoll),The Ringer (Kelly),DraftTek,APC (Western),CBS Sports,CBS Sports (Edwards),NFLDraftSite,Cbssports (Wilson),Cbssports (Schneier),DraftNetwork (Solak),CBSSports (Edwards)
1,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow ,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow,Joe Burrow
2,Tua Tagovailoa,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young,Chase Young
3,Chase Young,Jeff Okudah,Jeff Okudah,Jeff Okudah,Tua Tagovailoa,Isaiah Simmons,Jeff Okudah,Jeff Okudah,Jeff Okudah,Jeff Okudah,Tua Tagovailoa,Jeff Okudah,Jeff Okudah,Jeff Okudah,Tua Tagovailoa,Jeff Okudah,Tua Tagovailoa
4,Justin Herbert,Tristan Wirfs,Tristan Wirfs,Isaiah Simmons,Mekhi Becton,Tristan Wirfs,Isaiah Simmons,Andrew Thomas,Isaiah Simmons,Isaiah Simmons,Isaiah Simmons,Tristan Wirfs,Tristan Wirfs,Jedrick Wills,Isaiah Simmons,Jedrick Wills,Jedrick Wills
5,Tristan Wirfs,Tua Tagovailoa,Justin Herbert,Tua Tagovailoa,Jeff Okudah,Justin Herbert,Tua Tagovailoa,Tua Tagovailoa,Tua Tagovailoa,Tua Tagovailoa,Jeff Okudah,Tua Tagovailoa,Tua Tagovailoa,Tua Tagovailoa,Jeff Okudah,Justin Herbert,Jeff Okudah
6,Mekhi Becton,Justin Herbert,Tua Tagovailoa,Mekhi Becton,Justin Herbert,Tua Tagovailoa,Justin Herbert,Justin Herbert,Justin Herbert,Justin Herbert,Justin Herbert,Isaiah Simmons,Justin Herbert,Isaiah Simmons,Justin Herbert,Tua Tagovailoa,Justin Herbert
7,Jeff Okudah,Isaiah Simmons,Isaiah Simmons,Derrick Brown,Isaiah Simmons,Jeff Okudah,Jerry Jeudy,Isaiah Simmons,Javon Kinlaw,Derrick Brown,Derrick Brown,Derrick Brown,Isaiah Simmons,Derrick Brown,Jedrick Wills,Javon Kinlaw,Isaiah Simmons
8,Henry Ruggs,Jedrick Wills,Jedrick Wills,Jedrick Wills,Tristan Wirfs,Derrick Brown,Tristan Wirfs,Tristan Wirfs,Jedrick Wills,Andrew Thomas,Tristan Wirfs,Jedrick Wills,Jedrick Wills,Tristan Wirfs,Tristan Wirfs,Tristan Wirfs,Tristan Wirfs
9,Javon Kinlaw,Derrick Brown,Derrick Brown,Justin Herbert,Derrick Brown,Jerry Jeudy,Derrick Brown,Jerry Jeudy,Derrick Brown,CeeDee Lamb,Javon Kinlaw,Justin Herbert,Derrick Brown,CJ Henderson,Andrew Thomas,Derrick Brown,Derrick Brown
10,Andrew Thomas,Andrew Thomas,Mekhi Becton,Tristan Wirfs,Andrew Thomas,Mekhi Becton,Mekhi Becton,Mekhi Becton,Andrew Thomas,Tristan Wirfs,Jerry Jeudy,Andrew Thomas,Andrew Thomas,Mekhi Becton,Mekhi Becton,CJ Henderson,Andrew Thomas
11,Isaiah Simmons,Jerry Jeudy,Andrew Thomas,CJ Henderson,Jedrick Wills,Jedrick Wills,Ceedee Lamb,CeeDee Lamb,Tristan Wirfs,Mekhi Becton,Henry Ruggs,Mekhi Becton,Mekhi Becton,Andrew Thomas,Derrick Brown,Isaiah Simmons,Mekhi Becton
12,CeeDee Lamb,Mekhi Becton,Jerry Jeudy,CeeDee Lamb,CeeDee Lamb,CeeDee Lamb,Henry Ruggs,Henry Ruggs,CJ Henderson,Jerry Jeudy,Mekhi Becton,Jerry Jeudy,Henry Ruggs,CeeDee Lamb,CeeDee Lamb,Jerry Jeudy,Jerry Jeudy
13,Jerry Jeudy,Henry Ruggs,CeeDee Lamb,Jerry Jeudy,Jerry Jeudy,CJ Henderson,Jedrick Wills,Derrick Brown,CeeDee Lamb,Javon Kinlaw,CeeDee Lamb,Henry Ruggs,Jerry Jeudy,Jerry Jeudy,CJ Henderson,CeeDee Lamb,Henry Ruggs
14,Derrick Brown,K'Lavon Chaisson,Henry Ruggs,Andrew Thomas,Javon Kinlaw,Andrew Thomas,Andrew Thomas,Jedrick Wills,Mekhi Becton,Jedrick Wills,Andrew Thomas,Javon Kinlaw,Josh Jones,Josh Jones,Patrick Queen,Mekhi Becton,CJ Henderson
15,Jedrick Wills,CeeDee Lamb,Javon Kinlaw,Henry Ruggs,Henry Ruggs,Henry Ruggs,Javon Kinlaw,Patrick Queen,Jerry Jeudy,Henry Ruggs,CJ Henderson,CJ Henderson,CeeDee Lamb,Henry Ruggs,Jerry Jeudy,Andrew Thomas,CeeDee Lamb
16,K'Lavon Chaisson,CJ Henderson,K'Lavon Chaisson,Javon Kinlaw,CJ Henderson,K'Lavon Chaisson,Patrick Queen,CJ Henderson,K'Lavon Chaisson,CJ Henderson,Xavier McKinney,CeeDee Lamb,CJ Henderson,Javon Kinlaw,Javon Kinlaw,Ezra Cleveland,Justin Jefferson
17,CJ Henderson,Grant Delpit,CJ Henderson,AJ Epenesa,K'Lavon Chaisson,Javon Kinlaw,CJ Henderson,K'Lavon Chaisson,Kristian Fulton,Xavier McKinney,K'Lavon Chaisson,Xavier McKinney,Cesar Ruiz,K'Lavon Chaisson,Xavier McKinney,Jordan Love,Jordan Love
18,Austin Jackson,Austin Jackson,Josh Jones,Xavier McKinney,Josh Jones,Xavier McKinney,Justin Jefferson,Javon Kinlaw,Josh Jones,Justin Jefferson,Jedrick Wills,Kenneth Murray,Javon Kinlaw,Xavier McKinney,Josh Jones,Henry Ruggs,Josh Jones
